,State,Quarter,Sex,Workforce
24,Baja California,2013-Q1,Hombre,43663
25,Baja California,2013-Q1,Mujer,21628
26,Baja California,2013-Q2,Hombre,48960
27,Baja California,2013-Q2,Mujer,34918
28,Baja California,2013-Q3,Hombre,59770
29,Baja California,2013-Q3,Mujer,39200
30,Baja California,2013-Q4,Hombre,54459
31,Baja California,2013-Q4,Mujer,24944
32,Baja California,2014-Q1,Hombre,59135
33,Baja California,2014-Q1,Mujer,31056
34,Baja California,2014-Q2,Hombre,55931
35,Baja California,2014-Q2,Mujer,32815
36,Baja California,2014-Q3,Hombre,63368
37,Baja California,2014-Q3,Mujer,30990
38,Baja California,2014-Q4,Hombre,48478
39,Baja California,2014-Q4,Mujer,25511
40,Baja California,2015-Q1,Hombre,39941
41,Baja California,2015-Q1,Mujer,24057
42,Baja California,2015-Q2,Hombre,53451
43,Baja California,2015-Q2,Mujer,21446
44,Baja California,2015-Q3,Hombre,39277
45,Baja California,2015-Q3,Mujer,22706
46,Baja California,2015-Q4,Hombre,40402
47,Baja California,2015-Q4,Mujer,19338
48,Baja California,2016-Q1,Hombre,25962
49,Baja California,2016-Q1,Mujer,19173
50,Baja California,2016-Q2,Hombre,25930
51,Baja California,2016-Q2,Mujer,13389
52,Baja California,2016-Q3,Hombre,29770
53,Baja California,2016-Q3,Mujer,18170
54,Baja California,2016-Q4,Hombre,22757
55,Baja California,2016-Q4,Mujer,14367
56,Baja California,2017-Q1,Hombre,28369
57,Baja California,2017-Q1,Mujer,18594
58,Baja California,2017-Q2,Hombre,30548
59,Baja California,2017-Q2,Mujer,17564
60,Baja California,2017-Q3,Hombre,33947
61,Baja California,2017-Q3,Mujer,16785
62,Baja California,2017-Q4,Hombre,28194
63,Baja California,2017-Q4,Mujer,17858
64,Baja California,2018-Q1,Hombre,22504
65,Baja California,2018-Q1,Mujer,13263
66,Baja California,2018-Q2,Hombre,30084
67,Baja California,2018-Q2,Mujer,15815
68,Baja California,2018-Q3,Hombre,28184
69,Baja California,2018-Q3,Mujer,25663
70,Baja California,2018-Q4,Hombre,24475
71,Baja California,2018-Q4,Mujer,14332
72,Baja California,2019-Q1,Hombre,28678
73,Baja California,2019-Q1,Mujer,15959
74,Baja California,2019-Q2,Hombre,32264
75,Baja California,2019-Q2,Mujer,12179
76,Baja California,2019-Q3,Hombre,29664
77,Baja California,2019-Q3,Mujer,22216
78,Baja California,2019-Q4,Hombre,24812
79,Baja California,2019-Q4,Mujer,14334
80,Baja California,2020-Q1,Hombre,26364
81,Baja California,2020-Q1,Mujer,11994
82,Baja California,2020-Q3,Hombre,30512
83,Baja California,2020-Q3,Mujer,15054
84,Baja California,2020-Q4,Hombre,34554
85,Baja California,2020-Q4,Mujer,14957
86,Baja California,2021-Q1,Hombre,26308
87,Baja California,2021-Q1,Mujer,17940
88,Baja California,2021-Q2,Hombre,24008
89,Baja California,2021-Q2,Mujer,20246
90,Baja California,2021-Q3,Hombre,31213
91,Baja California,2021-Q3,Mujer,21011
92,Baja California,2021-Q4,Hombre,27208
93,Baja California,2021-Q4,Mujer,10136
94,Baja California,2022-Q1,Hombre,25564
95,Baja California,2022-Q1,Mujer,8915
96,Baja California,2022-Q2,Hombre,32981
97,Baja California,2022-Q2,Mujer,13525
98,Baja California,2022-Q3,Hombre,29656
99,Baja California,2022-Q3,Mujer,17789
100,Baja California,2022-Q4,Hombre,32294
101,Baja California,2022-Q4,Mujer,17646
102,Baja California,2023-Q1,Hombre,20425
103,Baja California,2023-Q1,Mujer,10801
104,Baja California,2023-Q2,Hombre,25583
105,Baja California,2023-Q2,Mujer,17021
106,Baja California,2023-Q3,Hombre,28834
107,Baja California,2023-Q3,Mujer,16463
108,Baja California,2023-Q4,Hombre,24270
109,Baja California,2023-Q4,Mujer,17426
110,Baja California,2024-Q1,Hombre,24384
111,Baja California,2024-Q1,Mujer,14270
112,Baja California,2024-Q2,Hombre,30943
113,Baja California,2024-Q2,Mujer,19573
114,Baja California,2024-Q3,Hombre,30603
115,Baja California,2024-Q3,Mujer,19021
116,Baja California,2024-Q4,Hombre,31046
117,Baja California,2024-Q4,Mujer,13606
118,Baja California,2025-Q1,Hombre,22103
119,Baja California,2025-Q1,Mujer,16872
